Price,Close
Ticker,^CNXPHARMA
Date,
2025-08-14,22151.849609375
2025-08-18,22141.150390625
2025-08-19,22066.75
2025-08-20,21969.5
2025-08-21,22177.69921875
2025-08-22,22265.0
2025-08-25,22362.80078125
2025-08-26,21990.0
2025-08-28,21808.349609375
2025-08-29,21804.05078125
2025-09-01,21778.849609375
2025-09-02,21719.94921875
2025-09-03,21959.599609375
2025-09-04,21915.400390625
2025-09-05,21924.80078125
2025-09-08,21865.19921875
2025-09-09,22052.650390625
2025-09-10,22122.05078125
2025-09-11,22224.0
2025-09-12,22341.19921875
2025-09-15,22198.69921875
2025-09-16,22264.55078125
2025-09-17,22241.349609375
2025-09-18,22574.349609375
2025-09-19,22686.599609375
2025-09-22,22365.75
2025-09-23,22299.099609375
2025-09-24,22180.69921875
2025-09-25,21977.69921875
2025-09-26,21507.19921875
2025-09-29,21475.30078125
2025-09-30,21454.25
2025-10-01,21733.5
2025-10-03,21756.349609375
2025-10-06,21779.849609375
2025-10-07,21875.30078125
2025-10-08,21707.349609375
2025-10-09,21936.19921875
2025-10-10,22218.25
2025-10-13,22205.099609375
