Date,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
2025-08-14,9770.447265625,35737.60009765625,2835.5000610351562,3145.2998962402344,2075.949951171875,12762.800048828125,5347.5
2025-08-18,9713.520324707031,35062.39990234375,2838.6500244140625,3152.3500061035156,2080.1000366210938,12832.60009765625,5346.0
2025-08-19,9674.5888671875,35557.199951171875,2828.4000244140625,3161.3500366210938,2092.0499572753906,12741.200073242188,5392.0
2025-08-20,9569.642395019531,35101.60009765625,2819.6499633789062,3145.0499572753906,2087.4500122070312,12672.300048828125,5393.0
2025-08-21,9676.051025390625,35235.10009765625,2834.7000732421875,3118.5,2085.6500244140625,12674.699829101562,5422.0
2025-08-22,9699.309814453125,34481.800048828125,2836.5,3097.0,2107.4000244140625,12897.000122070312,5426.0
2025-08-25,9768.113891601562,34077.10009765625,2814.2000122070312,3082.7000122070312,2109.3500366210938,12979.599975585938,5415.5
2025-08-26,9602.226806640625,34387.0,2796.1500244140625,3048.60009765625,2077.2999877929688,12830.10009765625,5422.0
2025-08-28,9546.7109375,33949.10009765625,2748.800048828125,2975.550048828125,2059.6500244140625,12713.099853515625,5376.0
2025-08-29,9534.542663574219,33951.39990234375,2728.4000244140625,2969.85009765625,2072.6500549316406,12670.200073242188,5303.5
2025-09-01,9568.035522460938,34650.89990234375,2731.0999755859375,2967.7999877929688,2078.0499877929688,12610.700073242188,5300.5
2025-09-02,9510.654968261719,35038.300048828125,2727.0999755859375,2987.7999877929688,2071.500030517578,12636.199829101562,5246.5
2025-09-03,9706.295593261719,35134.10009765625,2751.5000610351562,3075.9500122070312,2090.4500122070312,12701.39990234375,5292.0
2025-09-04,9659.528564453125,34743.89990234375,2760.0999755859375,3113.5499267578125,2080.250030517578,12654.300048828125,5301.5
2025-09-05,9722.979125976562,33700.60009765625,2772.8499755859375,3125.5000915527344,2082.0000610351562,12516.700073242188,5333.5
2025-09-08,9681.828979492188,33544.39990234375,2773.2999877929688,3109.949951171875,2089.3499450683594,12541.799926757812,5333.0
2025-09-09,9832.071899414062,33219.300048828125,2823.2999877929688,3086.4000244140625,2093.5999755859375,12557.599975585938,5336.0
2025-09-10,9907.536010742188,33863.5,2798.9000244140625,3118.4500732421875,2073.8999633789062,12529.599975585938,5320.5
2025-09-11,9975.443603515625,33574.0,2861.4000244140625,3098.0999755859375,2069.5499877929688,12521.0,5393.5
2025-09-12,10063.331970214844,33559.60009765625,2917.2499389648438,3113.4500732421875,2065.1000366210938,12524.099975585938,5448.0
2025-09-15,9980.321166992188,33495.39990234375,2912.199951171875,3082.9500732421875,2037.6500244140625,12500.900146484375,5500.5
2025-09-16,9973.799682617188,33499.800048828125,2916.6500244140625,3095.6000366210938,2044.0000610351562,12557.0,5503.0
2025-09-17,9928.743896484375,33540.199951171875,2880.8500366210938,3106.9498901367188,2047.3500061035156,12531.199951171875,5472.5
2025-09-18,10114.259338378906,33528.300048828125,2939.75,3091.5499267578125,2059.2000427246094,12668.799926757812,5479.5
2025-09-19,10076.389404296875,33025.60009765625,2954.9000244140625,3088.0001220703125,2083.3999633789062,12926.199951171875,5541.5
2025-09-22,9880.825317382812,32789.89990234375,2918.6000366210938,3065.4999389648438,2081.9500427246094,12791.699951171875,5495.0
2025-09-23,9866.9765625,32789.300048828125,2927.2499389648438,3068.6998901367188,2082.9000244140625,12728.89990234375,5544.5
2025-09-24,9824.124206542969,32724.699951171875,2887.550048828125,3061.9999389648438,2054.5499877929688,12574.10009765625,5576.0
2025-09-25,9735.058654785156,32721.199951171875,2869.1500244140625,3019.5499267578125,2025.3500366210938,12406.500122070312,5508.0
2025-09-26,9527.234130859375,32222.89990234375,2790.3999633789062,2981.0999755859375,2008.9999694824219,12208.39990234375,5433.0
2025-09-29,9488.501220703125,32127.0,2838.9500122070312,2939.2999267578125,2045.2499694824219,12190.400146484375,5409.0
2025-09-30,9449.858337402344,31725.699951171875,2833.3999633789062,2923.300048828125,2050.699951171875,12226.0,5425.0
2025-10-01,9579.399963378906,32329.60009765625,2853.5999755859375,2940.8499755859375,2036.1499633789062,12240.60009765625,5459.5
2025-10-03,9623.749877929688,32413.0,2815.800048828125,2959.1000366210938,2020.6500244140625,12324.999877929688,5442.0
2025-10-06,9576.5,32476.300048828125,2802.5999755859375,2984.0000610351562,2006.550048828125,12330.39990234375,5494.0
2025-10-07,9538.60009765625,32305.699951171875,2803.7000732421875,3015.2000732421875,2004.4999389648438,12654.299926757812,5492.0
2025-10-08,9429.750061035156,32379.89990234375,2810.8499755859375,2959.75,2026.199951171875,12673.199951171875,5493.5
2025-10-09,9580.299926757812,32169.39990234375,2817.9000244140625,2987.3499755859375,2026.0999755859375,12680.5,5480.5
2025-10-10,9694.350219726562,32589.89990234375,2800.1500244140625,3002.7499389648438,2026.7500610351562,13012.700073242188,5454.5
2025-10-13,9680.100036621094,32437.5,2802.8999633789062,2983.0,2009.5999450683594,13066.099975585938,5492.5
2025-10-14,9533.450256347656,32533.10009765625,2798.7500610351562,2962.0,2010.9499816894531,13043.5,5493.0
